Number of Dyck words is 14
Processing Dyck words, elapsed time = 19μs 
Dyck words use ~ 280.000000 bytes
Using 62 / 64 threads
Thread 1 is finished, elapsed time = 43μs 
Thread 3 is finished, elapsed time = 13μs 
Thread 0 is finished, elapsed time = 439μs 
Thread 2 is finished, elapsed time = 339μs 
Thread 4 is finished, elapsed time = 230μs 
Thread 6 is finished, elapsed time = 27μs 
Thread 7 is finished, elapsed time = 63μs 
Thread 5 is finished, elapsed time = 320μs 
Thread 9 is finished, elapsed time = 4825ns 
Thread 8 is finished, elapsed time = 23μs 
Thread 10 is finished, elapsed time = 78μs 
Thread 11 is finished, elapsed time = 66μs 
Thread 12 is finished, elapsed time = 62μs 
Thread 13 is finished, elapsed time = 17μs 
Thread 15 is finished, elapsed time = 3914ns 
Thread 14 is finished, elapsed time = 283μs 
Thread 16 is finished, elapsed time = 173μs 
Thread 18 is finished, elapsed time = 3547ns 
Thread 19 is finished, elapsed time = 4994ns 
Thread 17 is finished, elapsed time = 170μs 
Thread 20 is finished, elapsed time = 9386ns 
Thread 21 is finished, elapsed time = 77μs 
Thread 22 is finished, elapsed time = 85μs 
Thread 23 is finished, elapsed time = 72μs 
Thread 24 is finished, elapsed time = 54μs 
Thread 26 is finished, elapsed time = 2394ns 
Thread 25 is finished, elapsed time = 8684ns 
Thread 28 is finished, elapsed time = 49μs 
Thread 27 is finished, elapsed time = 84μs 
Thread 29 is finished, elapsed time = 101μs 
Thread 31 is finished, elapsed time = 3896ns 
Thread 32 is finished, elapsed time = 2917ns 
Thread 30 is finished, elapsed time = 166μs 
Thread 34 is finished, elapsed time = 3067ns 
Thread 33 is finished, elapsed time = 69μs 
Thread 35 is finished, elapsed time = 79μs 
Thread 36 is finished, elapsed time = 15μs 
Thread 38 is finished, elapsed time = 2807ns 
Thread 37 is finished, elapsed time = 22μs 
Thread 39 is finished, elapsed time = 37μs 
Thread 40 is finished, elapsed time = 2734ns 
Thread 41 is finished, elapsed time = 7477ns 
Thread 42 is finished, elapsed time = 43μs 
Thread 43 is finished, elapsed time = 20μs 
Thread 44 is finished, elapsed time = 8574ns 
Thread 45 is finished, elapsed time = 64μs 
Thread 47 is finished, elapsed time = 3918ns 
Thread 46 is finished, elapsed time = 77μs 
Thread 48 is finished, elapsed time = 4385ns 
Thread 49 is finished, elapsed time = 7744ns 
Thread 50 is finished, elapsed time = 3371ns 
Thread 52 is finished, elapsed time = 8941ns 
Thread 55 is finished, elapsed time = 3917ns 
Thread 53 is finished, elapsed time = 9408ns 
Thread 56 is finished, elapsed time = 7129ns 
Thread 57 is finished, elapsed time = 4618ns 
Thread 58 is finished, elapsed time = 4599ns 
Thread 59 is finished, elapsed time = 4037ns 
Thread 54 is finished, elapsed time = 252μs 
Thread 51 is finished, elapsed time = 468μs 
Thread 61 is finished, elapsed time = 105μs 
Thread 60 is finished, elapsed time = 151μs 
Total elapsed time = 5358μs 
311
