Number of Dyck words is 58786
Processing Dyck words, elapsed time = 29ms 
Dyck words use ~ 2.721197 MB
Using 62 / 64 threads
Thread 61 is finished, elapsed time = 2008ms 
Thread 60 is finished, elapsed time = 3218ms 
Thread 59 is finished, elapsed time = 3714ms 
Thread 58 is finished, elapsed time = 3814ms 
Thread 1 is finished, elapsed time = 4682ms 
Thread 0 is finished, elapsed time = 4787ms 
Thread 55 is finished, elapsed time = 5045ms 
Thread 50 is finished, elapsed time = 5079ms 
Thread 38 is finished, elapsed time = 5400ms 
Thread 44 is finished, elapsed time = 5783ms 
Thread 41 is finished, elapsed time = 6358ms 
Thread 45 is finished, elapsed time = 6366ms 
Thread 35 is finished, elapsed time = 6436ms 
Thread 14 is finished, elapsed time = 6454ms 
Thread 52 is finished, elapsed time = 6455ms 
Thread 13 is finished, elapsed time = 6526ms 
Thread 46 is finished, elapsed time = 6578ms 
Thread 57 is finished, elapsed time = 6641ms 
Thread 40 is finished, elapsed time = 6669ms 
Thread 28 is finished, elapsed time = 6708ms 
Thread 42 is finished, elapsed time = 6783ms 
Thread 4 is finished, elapsed time = 6797ms 
Thread 23 is finished, elapsed time = 6825ms 
Thread 54 is finished, elapsed time = 6861ms 
Thread 47 is finished, elapsed time = 6908ms 
Thread 53 is finished, elapsed time = 6968ms 
Thread 3 is finished, elapsed time = 7005ms 
Thread 56 is finished, elapsed time = 7055ms 
Thread 51 is finished, elapsed time = 7130ms 
Thread 36 is finished, elapsed time = 7146ms 
Thread 37 is finished, elapsed time = 7158ms 
Thread 43 is finished, elapsed time = 7219ms 
Thread 49 is finished, elapsed time = 7220ms 
Thread 11 is finished, elapsed time = 7263ms 
Thread 29 is finished, elapsed time = 7255ms 
Thread 32 is finished, elapsed time = 7352ms 
Thread 48 is finished, elapsed time = 7382ms 
Thread 2 is finished, elapsed time = 7549ms 
Thread 31 is finished, elapsed time = 7670ms 
Thread 27 is finished, elapsed time = 7689ms 
Thread 12 is finished, elapsed time = 7702ms 
Thread 33 is finished, elapsed time = 7722ms 
Thread 10 is finished, elapsed time = 7822ms 
Thread 15 is finished, elapsed time = 7856ms 
Thread 24 is finished, elapsed time = 7860ms 
Thread 17 is finished, elapsed time = 7859ms 
Thread 34 is finished, elapsed time = 7861ms 
Thread 39 is finished, elapsed time = 7884ms 
Thread 26 is finished, elapsed time = 7950ms 
Thread 9 is finished, elapsed time = 8008ms 
Thread 5 is finished, elapsed time = 8054ms 
Thread 30 is finished, elapsed time = 8047ms 
Thread 7 is finished, elapsed time = 8097ms 
Thread 6 is finished, elapsed time = 8163ms 
Thread 16 is finished, elapsed time = 8180ms 
Thread 8 is finished, elapsed time = 8259ms 
Thread 19 is finished, elapsed time = 8870ms 
Thread 25 is finished, elapsed time = 9544ms 
Thread 21 is finished, elapsed time = 9813ms 
Thread 20 is finished, elapsed time = 10148ms 
Thread 18 is finished, elapsed time = 10273ms 
Thread 22 is finished, elapsed time = 10546ms 
Total elapsed time = 10579ms 
7033866580
