Number of Dyck words is 1
Processing Dyck words, elapsed time = 4740ns 
Dyck words use ~ 7.000000 bytes
Using 190 / 192 threads
Thread 0 is finished, elapsed time = 45μs 
Thread 1 is finished, elapsed time = 5523ns 
Thread 2 is finished, elapsed time = 2074ns 
Thread 3 is finished, elapsed time = 2277ns 
Thread 4 is finished, elapsed time = 5178ns 
Thread 5 is finished, elapsed time = 1940ns 
Thread 6 is finished, elapsed time = 2094ns 
Thread 7 is finished, elapsed time = 2045ns 
Thread 8 is finished, elapsed time = 4686ns 
Thread 9 is finished, elapsed time = 2092ns 
Thread 10 is finished, elapsed time = 1984ns 
Thread 11 is finished, elapsed time = 2146ns 
Thread 12 is finished, elapsed time = 4904ns 
Thread 13 is finished, elapsed time = 2063ns 
Thread 14 is finished, elapsed time = 1969ns 
Thread 15 is finished, elapsed time = 1965ns 
Thread 16 is finished, elapsed time = 4690ns 
Thread 17 is finished, elapsed time = 1930ns 
Thread 18 is finished, elapsed time = 3508ns 
Thread 19 is finished, elapsed time = 1930ns 
Thread 20 is finished, elapsed time = 4252ns 
Thread 21 is finished, elapsed time = 2479ns 
Thread 22 is finished, elapsed time = 2072ns 
Thread 23 is finished, elapsed time = 1950ns 
Thread 24 is finished, elapsed time = 4215ns 
Thread 25 is finished, elapsed time = 1881ns 
Thread 26 is finished, elapsed time = 1972ns 
Thread 27 is finished, elapsed time = 1838ns 
Thread 28 is finished, elapsed time = 5010ns 
Thread 29 is finished, elapsed time = 2029ns 
Thread 30 is finished, elapsed time = 1756ns 
Thread 31 is finished, elapsed time = 1848ns 
Thread 32 is finished, elapsed time = 4031ns 
Thread 33 is finished, elapsed time = 1938ns 
Thread 34 is finished, elapsed time = 1681ns 
Thread 35 is finished, elapsed time = 2088ns 
Thread 36 is finished, elapsed time = 4414ns 
Thread 37 is finished, elapsed time = 1957ns 
Thread 38 is finished, elapsed time = 2073ns 
Thread 39 is finished, elapsed time = 1959ns 
Thread 40 is finished, elapsed time = 4777ns 
Thread 41 is finished, elapsed time = 2179ns 
Thread 42 is finished, elapsed time = 1957ns 
Thread 43 is finished, elapsed time = 1877ns 
Thread 44 is finished, elapsed time = 4363ns 
