Number of Dyck words is 1430
Processing Dyck words, elapsed time = 1289μs 
Dyck words use ~ 50.832031 KB
Using 190 / 192 threads
Thread 0 is finished, elapsed time = 437μs 
Thread 1 is finished, elapsed time = 211μs 
Thread 2 is finished, elapsed time = 187μs 
Thread 3 is finished, elapsed time = 201μs 
Thread 4 is finished, elapsed time = 196μs 
Thread 5 is finished, elapsed time = 166μs 
Thread 6 is finished, elapsed time = 183μs 
Thread 7 is finished, elapsed time = 233μs 
Thread 8 is finished, elapsed time = 192μs 
Thread 9 is finished, elapsed time = 204μs 
Thread 10 is finished, elapsed time = 192μs 
Thread 11 is finished, elapsed time = 207μs 
Thread 12 is finished, elapsed time = 166μs 
Thread 13 is finished, elapsed time = 202μs 
Thread 14 is finished, elapsed time = 173μs 
Thread 15 is finished, elapsed time = 169μs 
Thread 16 is finished, elapsed time = 152μs 
Thread 17 is finished, elapsed time = 178μs 
Thread 18 is finished, elapsed time = 178μs 
Thread 19 is finished, elapsed time = 174μs 
Thread 20 is finished, elapsed time = 166μs 
Thread 21 is finished, elapsed time = 233μs 
Thread 22 is finished, elapsed time = 214μs 
Thread 23 is finished, elapsed time = 300μs 
Thread 24 is finished, elapsed time = 227μs 
Thread 25 is finished, elapsed time = 240μs 
Thread 26 is finished, elapsed time = 274μs 
Thread 27 is finished, elapsed time = 268μs 
Thread 28 is finished, elapsed time = 220μs 
Thread 29 is finished, elapsed time = 162μs 
Thread 30 is finished, elapsed time = 217μs 
Thread 32 is finished, elapsed time = 231μs 
Thread 33 is finished, elapsed time = 209μs 
Thread 31 is finished, elapsed time = 426μs 
Thread 34 is finished, elapsed time = 187μs 
Thread 35 is finished, elapsed time = 115μs 
Thread 36 is finished, elapsed time = 204μs 
Thread 37 is finished, elapsed time = 198μs 
Thread 38 is finished, elapsed time = 200μs 
Thread 39 is finished, elapsed time = 184μs 
Thread 40 is finished, elapsed time = 175μs 
Thread 41 is finished, elapsed time = 188μs 
Thread 42 is finished, elapsed time = 164μs 
Thread 43 is finished, elapsed time = 150μs 
Thread 44 is finished, elapsed time = 173μs 
Thread 45 is finished, elapsed time = 171μs 
Thread 46 is finished, elapsed time = 176μs 
Thread 47 is finished, elapsed time = 188μs 
Thread 48 is finished, elapsed time = 178μs 
Thread 49 is finished, elapsed time = 161μs 
Thread 50 is finished, elapsed time = 181μs 
Thread 51 is finished, elapsed time = 172μs 
Thread 52 is finished, elapsed time = 215μs 
Thread 53 is finished, elapsed time = 174μs 
Thread 54 is finished, elapsed time = 183μs 
Thread 55 is finished, elapsed time = 172μs 
Thread 56 is finished, elapsed time = 176μs 
Thread 57 is finished, elapsed time = 183μs 
Thread 58 is finished, elapsed time = 174μs 
Thread 59 is finished, elapsed time = 189μs 
Thread 60 is finished, elapsed time = 175μs 
Thread 61 is finished, elapsed time = 152μs 
Thread 62 is finished, elapsed time = 163μs 
Thread 63 is finished, elapsed time = 162μs 
Thread 64 is finished, elapsed time = 169μs 
Thread 65 is finished, elapsed time = 179μs 
Thread 66 is finished, elapsed time = 173μs 
Thread 67 is finished, elapsed time = 149μs 
Thread 68 is finished, elapsed time = 172μs 
Thread 69 is finished, elapsed time = 154μs 
Thread 70 is finished, elapsed time = 165μs 
Thread 71 is finished, elapsed time = 169μs 
Thread 72 is finished, elapsed time = 172μs 
Thread 73 is finished, elapsed time = 160μs 
Thread 74 is finished, elapsed time = 158μs 
Thread 75 is finished, elapsed time = 207μs 
Thread 76 is finished, elapsed time = 180μs 
Thread 77 is finished, elapsed time = 192μs 
Thread 78 is finished, elapsed time = 226μs 
Thread 79 is finished, elapsed time = 194μs 
Thread 80 is finished, elapsed time = 180μs 
Thread 81 is finished, elapsed time = 170μs 
Thread 82 is finished, elapsed time = 184μs 
Thread 83 is finished, elapsed time = 197μs 
Thread 84 is finished, elapsed time = 181μs 
Thread 85 is finished, elapsed time = 178μs 
Thread 86 is finished, elapsed time = 183μs 
Thread 87 is finished, elapsed time = 182μs 
Thread 88 is finished, elapsed time = 252μs 
Thread 89 is finished, elapsed time = 177μs 
Thread 90 is finished, elapsed time = 162μs 
Thread 91 is finished, elapsed time = 148μs 
Thread 92 is finished, elapsed time = 167μs 
Thread 93 is finished, elapsed time = 177μs 
Thread 94 is finished, elapsed time = 168μs 
Thread 95 is finished, elapsed time = 145μs 
Thread 96 is finished, elapsed time = 159μs 
Thread 97 is finished, elapsed time = 137μs 
Thread 98 is finished, elapsed time = 126μs 
Thread 99 is finished, elapsed time = 143μs 
Thread 100 is finished, elapsed time = 151μs 
Thread 101 is finished, elapsed time = 153μs 
Thread 102 is finished, elapsed time = 141μs 
Thread 103 is finished, elapsed time = 144μs 
Thread 104 is finished, elapsed time = 146μs 
Thread 105 is finished, elapsed time = 240μs 
Thread 106 is finished, elapsed time = 171μs 
Thread 107 is finished, elapsed time = 162μs 
Thread 108 is finished, elapsed time = 173μs 
Thread 109 is finished, elapsed time = 156μs 
Thread 110 is finished, elapsed time = 150μs 
Thread 111 is finished, elapsed time = 141μs 
Thread 112 is finished, elapsed time = 138μs 
Thread 113 is finished, elapsed time = 147μs 
Thread 114 is finished, elapsed time = 149μs 
Thread 115 is finished, elapsed time = 134μs 
Thread 116 is finished, elapsed time = 130μs 
Thread 117 is finished, elapsed time = 112μs 
Thread 118 is finished, elapsed time = 173μs 
Thread 119 is finished, elapsed time = 169μs 
Thread 120 is finished, elapsed time = 194μs 
Thread 121 is finished, elapsed time = 125μs 
Thread 122 is finished, elapsed time = 177μs 
Thread 123 is finished, elapsed time = 198μs 
Thread 124 is finished, elapsed time = 198μs 
Thread 125 is finished, elapsed time = 205μs 
Thread 126 is finished, elapsed time = 224μs 
Thread 127 is finished, elapsed time = 159μs 
Thread 128 is finished, elapsed time = 142μs 
Thread 129 is finished, elapsed time = 180μs 
Thread 130 is finished, elapsed time = 217μs 
Thread 131 is finished, elapsed time = 192μs 
Thread 132 is finished, elapsed time = 170μs 
Thread 133 is finished, elapsed time = 161μs 
Thread 134 is finished, elapsed time = 169μs 
Thread 135 is finished, elapsed time = 211μs 
Thread 136 is finished, elapsed time = 202μs 
Thread 137 is finished, elapsed time = 230μs 
Thread 138 is finished, elapsed time = 140μs 
Thread 139 is finished, elapsed time = 177μs 
Thread 140 is finished, elapsed time = 204μs 
Thread 141 is finished, elapsed time = 177μs 
Thread 142 is finished, elapsed time = 190μs 
Thread 143 is finished, elapsed time = 199μs 
Thread 144 is finished, elapsed time = 221μs 
Thread 145 is finished, elapsed time = 226μs 
Thread 146 is finished, elapsed time = 142μs 
Thread 147 is finished, elapsed time = 144μs 
Thread 148 is finished, elapsed time = 128μs 
Thread 149 is finished, elapsed time = 146μs 
Thread 150 is finished, elapsed time = 129μs 
Thread 151 is finished, elapsed time = 122μs 
Thread 152 is finished, elapsed time = 157μs 
Thread 153 is finished, elapsed time = 208μs 
Thread 154 is finished, elapsed time = 149μs 
Thread 155 is finished, elapsed time = 174μs 
Thread 156 is finished, elapsed time = 182μs 
Thread 157 is finished, elapsed time = 197μs 
Thread 158 is finished, elapsed time = 126μs 
Thread 159 is finished, elapsed time = 132μs 
Thread 160 is finished, elapsed time = 177μs 
Thread 161 is finished, elapsed time = 134μs 
Thread 162 is finished, elapsed time = 159μs 
Thread 163 is finished, elapsed time = 161μs 
Thread 164 is finished, elapsed time = 150μs 
Thread 165 is finished, elapsed time = 166μs 
Thread 166 is finished, elapsed time = 176μs 
Thread 167 is finished, elapsed time = 178μs 
Thread 168 is finished, elapsed time = 160μs 
Thread 169 is finished, elapsed time = 130μs 
Thread 170 is finished, elapsed time = 148μs 
Thread 171 is finished, elapsed time = 152μs 
Thread 172 is finished, elapsed time = 140μs 
Thread 173 is finished, elapsed time = 152μs 
Thread 174 is finished, elapsed time = 145μs 
Thread 175 is finished, elapsed time = 49μs 
Thread 176 is finished, elapsed time = 4476ns 
Thread 177 is finished, elapsed time = 2113ns 
Thread 178 is finished, elapsed time = 2100ns 
Thread 179 is finished, elapsed time = 1856ns 
Thread 180 is finished, elapsed time = 6722ns 
Thread 181 is finished, elapsed time = 1766ns 
Thread 182 is finished, elapsed time = 2053ns 
Thread 183 is finished, elapsed time = 1770ns 
Thread 184 is finished, elapsed time = 5502ns 
Thread 185 is finished, elapsed time = 1901ns 
Thread 186 is finished, elapsed time = 2082ns 
Thread 187 is finished, elapsed time = 1990ns 
Thread 188 is finished, elapsed time = 5789ns 
Thread 189 is finished, elapsed time = 3702ns 
Total elapsed time = 34ms 
3923351
