Number of Dyck words is 16796
Processing Dyck words, elapsed time = 40ms 
Dyck words use ~ 697.099609 KB
Using 190 / 192 threads
Number of palindromic Dyck words is 252
Number of non-palindromic Dyck words is 8272
Thread 0 has load 251
Thread 1 has load 250
Thread 2 has load 249
Thread 3 has load 248
Thread 4 has load 247
Thread 5 has load 246
Thread 6 has load 245
Thread 7 has load 244
Thread 8 has load 243
Thread 9 has load 242
Thread 10 has load 241
Thread 11 has load 240
Thread 12 has load 239
Thread 13 has load 238
Thread 14 has load 237
Thread 15 has load 236
Thread 16 has load 235
Thread 17 has load 234
Thread 18 has load 233
Thread 19 has load 232
Thread 20 has load 231
Thread 21 has load 230
Thread 22 has load 229
Thread 23 has load 228
Thread 24 has load 227
Thread 25 has load 226
Thread 26 has load 225
Thread 27 has load 224
Thread 28 has load 223
Thread 29 has load 222
Thread 30 has load 221
Thread 31 has load 220
Thread 32 has load 219
Thread 33 has load 218
Thread 34 has load 217
Thread 35 has load 216
Thread 36 has load 215
Thread 37 has load 214
Thread 38 has load 213
Thread 39 has load 212
Thread 40 has load 211
Thread 41 has load 210
Thread 42 has load 209
Thread 43 has load 208
Thread 44 has load 207
Thread 45 has load 206
Thread 46 has load 205
Thread 47 has load 204
Thread 48 has load 203
Thread 49 has load 202
Thread 50 has load 201
Thread 51 has load 200
Thread 52 has load 199
Thread 53 has load 198
Thread 54 has load 197
Thread 55 has load 196
Thread 56 has load 195
Thread 57 has load 194
Thread 58 has load 193
Thread 59 has load 192
Thread 60 has load 191
Thread 61 has load 190
Thread 62 has load 189
Thread 63 has load 188
Thread 64 has load 187
Thread 65 has load 186
Thread 66 has load 185
Thread 67 has load 184
Thread 68 has load 183
Thread 69 has load 182
Thread 70 has load 181
Thread 71 has load 180
Thread 72 has load 179
Thread 73 has load 178
Thread 74 has load 177
Thread 75 has load 176
Thread 76 has load 175
Thread 77 has load 174
Thread 78 has load 173
Thread 79 has load 172
Thread 80 has load 171
Thread 81 has load 170
Thread 82 has load 169
Thread 83 has load 168
Thread 84 has load 167
Thread 85 has load 166
Thread 86 has load 329
Thread 87 has load 325
Thread 88 has load 321
Thread 89 has load 317
Thread 90 has load 313
Thread 91 has load 309
Thread 92 has load 305
Thread 93 has load 301
Thread 94 has load 297
Thread 95 has load 293
Thread 96 has load 289
Thread 97 has load 285
Thread 98 has load 281
Thread 99 has load 277
Thread 100 has load 273
Thread 101 has load 269
Thread 102 has load 265
Thread 103 has load 261
Thread 104 has load 257
Thread 105 has load 253
Thread 106 has load 249
Thread 107 has load 245
Thread 108 has load 241
Thread 109 has load 237
Thread 110 has load 233
Thread 111 has load 229
Thread 112 has load 225
Thread 113 has load 221
Thread 114 has load 217
Thread 115 has load 213
Thread 116 has load 209
Thread 117 has load 205
Thread 118 has load 201
Thread 119 has load 197
Thread 120 has load 193
Thread 121 has load 189
Thread 122 has load 185
Thread 123 has load 181
Thread 124 has load 177
Thread 125 has load 173
Thread 126 has load 169
Thread 127 has load 246
Thread 128 has load 237
Thread 129 has load 228
Thread 130 has load 219
Thread 131 has load 210
Thread 132 has load 201
Thread 133 has load 192
Thread 134 has load 183
Thread 135 has load 174
Thread 136 has load 218
Thread 137 has load 202
Thread 138 has load 186
Thread 139 has load 170
Thread 140 has load 190
Thread 141 has load 195
Thread 142 has load 182
Thread 143 has load 175
Thread 144 has load 78
Thread 0 is finished, elapsed time = 43μs 
Thread 1 is finished, elapsed time = 22μs 
Thread 2 is finished, elapsed time = 15μs 
Thread 3 is finished, elapsed time = 14μs 
Thread 4 is finished, elapsed time = 15μs 
Thread 5 is finished, elapsed time = 12μs 
Thread 6 is finished, elapsed time = 13μs 
Thread 7 is finished, elapsed time = 12μs 
Thread 8 is finished, elapsed time = 14μs 
Thread 9 is finished, elapsed time = 11μs 
Thread 10 is finished, elapsed time = 12μs 
Thread 11 is finished, elapsed time = 10μs 
Thread 12 is finished, elapsed time = 15μs 
Thread 13 is finished, elapsed time = 11μs 
Thread 14 is finished, elapsed time = 10μs 
Thread 15 is finished, elapsed time = 10μs 
Thread 16 is finished, elapsed time = 13μs 
Thread 17 is finished, elapsed time = 9356ns 
Thread 18 is finished, elapsed time = 9154ns 
Thread 19 is finished, elapsed time = 8567ns 
Thread 20 is finished, elapsed time = 12μs 
Thread 21 is finished, elapsed time = 10μs 
Thread 22 is finished, elapsed time = 10μs 
Thread 23 is finished, elapsed time = 10μs 
Thread 24 is finished, elapsed time = 13μs 
Thread 25 is finished, elapsed time = 9100ns 
Thread 26 is finished, elapsed time = 10μs 
Thread 27 is finished, elapsed time = 9574ns 
Thread 28 is finished, elapsed time = 11μs 
Thread 29 is finished, elapsed time = 8090ns 
Thread 30 is finished, elapsed time = 8369ns 
Thread 31 is finished, elapsed time = 7423ns 
Thread 32 is finished, elapsed time = 11μs 
Thread 33 is finished, elapsed time = 8422ns 
Thread 34 is finished, elapsed time = 8137ns 
Thread 35 is finished, elapsed time = 7729ns 
Thread 36 is finished, elapsed time = 10μs 
Thread 37 is finished, elapsed time = 7461ns 
Thread 38 is finished, elapsed time = 7379ns 
Thread 39 is finished, elapsed time = 7164ns 
Thread 40 is finished, elapsed time = 12μs 
Thread 41 is finished, elapsed time = 9553ns 
Thread 42 is finished, elapsed time = 9523ns 
Thread 43 is finished, elapsed time = 8204ns 
Thread 44 is finished, elapsed time = 11μs 
Thread 45 is finished, elapsed time = 7803ns 
Thread 46 is finished, elapsed time = 9488ns 
Thread 47 is finished, elapsed time = 8317ns 
Thread 48 is finished, elapsed time = 9576ns 
Thread 49 is finished, elapsed time = 6987ns 
Thread 50 is finished, elapsed time = 7494ns 
Thread 51 is finished, elapsed time = 6849ns 
Thread 52 is finished, elapsed time = 8758ns 
Thread 53 is finished, elapsed time = 6367ns 
Thread 54 is finished, elapsed time = 9009ns 
Thread 55 is finished, elapsed time = 8176ns 
Thread 56 is finished, elapsed time = 9338ns 
Thread 57 is finished, elapsed time = 6943ns 
Thread 58 is finished, elapsed time = 7132ns 
Thread 59 is finished, elapsed time = 6441ns 
Thread 60 is finished, elapsed time = 8410ns 
Thread 61 is finished, elapsed time = 5898ns 
Thread 62 is finished, elapsed time = 7555ns 
Thread 63 is finished, elapsed time = 6439ns 
Thread 64 is finished, elapsed time = 8496ns 
Thread 65 is finished, elapsed time = 4883ns 
Thread 66 is finished, elapsed time = 5179ns 
Thread 67 is finished, elapsed time = 5906ns 
Thread 68 is finished, elapsed time = 8717ns 
Thread 69 is finished, elapsed time = 5472ns 
Thread 70 is finished, elapsed time = 7696ns 
Thread 71 is finished, elapsed time = 7801ns 
Thread 72 is finished, elapsed time = 9007ns 
Thread 73 is finished, elapsed time = 7408ns 
Thread 74 is finished, elapsed time = 7605ns 
Thread 75 is finished, elapsed time = 6920ns 
