Number of Dyck words is 2674440
Processing Dyck words, elapsed time = 1785ms 
Dyck words use ~ 154.626775 MB
Using 190 / 192 threads
Thread 186 is finished, elapsed time = 1h 45m
Thread 183 is finished, elapsed time = 1h 47m
Thread 181 is finished, elapsed time = 1h 47m
Thread 184 is finished, elapsed time = 1h 47m
Thread 187 is finished, elapsed time = 1h 47m
Thread 153 is finished, elapsed time = 1h 48m
Thread 157 is finished, elapsed time = 1h 48m
Thread 170 is finished, elapsed time = 1h 49m
Thread 188 is finished, elapsed time = 1h 50m
Thread 189 is finished, elapsed time = 1h 51m
Thread 0 is finished, elapsed time = 1h 51m
Thread 182 is finished, elapsed time = 1h 51m
Thread 99 is finished, elapsed time = 1h 52m
Thread 185 is finished, elapsed time = 1h 52m
Thread 93 is finished, elapsed time = 1h 52m
Thread 180 is finished, elapsed time = 1h 52m
Thread 94 is finished, elapsed time = 1h 52m
Thread 110 is finished, elapsed time = 1h 53m
Thread 179 is finished, elapsed time = 1h 53m
Thread 117 is finished, elapsed time = 1h 53m
Thread 168 is finished, elapsed time = 1h 53m
Thread 155 is finished, elapsed time = 1h 54m
Thread 116 is finished, elapsed time = 1h 54m
Thread 156 is finished, elapsed time = 1h 54m
Thread 115 is finished, elapsed time = 1h 54m
Thread 178 is finished, elapsed time = 1h 54m
Thread 165 is finished, elapsed time = 1h 54m
Thread 159 is finished, elapsed time = 1h 55m
Thread 131 is finished, elapsed time = 1h 55m
Thread 154 is finished, elapsed time = 1h 55m
Thread 118 is finished, elapsed time = 1h 55m
Thread 126 is finished, elapsed time = 1h 55m
Thread 11 is finished, elapsed time = 1h 55m
Thread 97 is finished, elapsed time = 1h 55m
Thread 120 is finished, elapsed time = 1h 55m
Thread 130 is finished, elapsed time = 1h 56m
Thread 83 is finished, elapsed time = 1h 56m
Thread 172 is finished, elapsed time = 1h 56m
Thread 37 is finished, elapsed time = 1h 56m
Thread 160 is finished, elapsed time = 1h 56m
Thread 96 is finished, elapsed time = 1h 56m
Thread 175 is finished, elapsed time = 1h 56m
Thread 73 is finished, elapsed time = 1h 56m
Thread 129 is finished, elapsed time = 1h 56m
Thread 173 is finished, elapsed time = 1h 56m
Thread 106 is finished, elapsed time = 1h 56m
Thread 119 is finished, elapsed time = 1h 56m
Thread 104 is finished, elapsed time = 1h 56m
Thread 45 is finished, elapsed time = 1h 56m
Thread 122 is finished, elapsed time = 1h 57m
Thread 88 is finished, elapsed time = 1h 57m
Thread 158 is finished, elapsed time = 1h 57m
Thread 19 is finished, elapsed time = 1h 57m
Thread 177 is finished, elapsed time = 1h 57m
Thread 171 is finished, elapsed time = 1h 57m
Thread 57 is finished, elapsed time = 1h 57m
Thread 144 is finished, elapsed time = 1h 57m
Thread 114 is finished, elapsed time = 1h 57m
Thread 111 is finished, elapsed time = 1h 57m
Thread 98 is finished, elapsed time = 1h 57m
Thread 169 is finished, elapsed time = 1h 57m
Thread 52 is finished, elapsed time = 1h 57m
Thread 89 is finished, elapsed time = 1h 57m
Thread 92 is finished, elapsed time = 1h 57m
Thread 152 is finished, elapsed time = 1h 57m
Thread 43 is finished, elapsed time = 1h 57m
Thread 140 is finished, elapsed time = 1h 57m
Thread 100 is finished, elapsed time = 1h 57m
Thread 76 is finished, elapsed time = 1h 57m
Thread 151 is finished, elapsed time = 1h 57m
Thread 27 is finished, elapsed time = 1h 58m
Thread 2 is finished, elapsed time = 1h 58m
Thread 135 is finished, elapsed time = 1h 58m
Thread 103 is finished, elapsed time = 1h 58m
Thread 105 is finished, elapsed time = 1h 58m
Thread 80 is finished, elapsed time = 1h 58m
Thread 1 is finished, elapsed time = 1h 58m
Thread 107 is finished, elapsed time = 1h 58m
Thread 127 is finished, elapsed time = 1h 58m
Thread 101 is finished, elapsed time = 1h 58m
Thread 174 is finished, elapsed time = 1h 58m
Thread 108 is finished, elapsed time = 1h 58m
Thread 51 is finished, elapsed time = 1h 58m
Thread 112 is finished, elapsed time = 1h 58m
Thread 136 is finished, elapsed time = 1h 58m
Thread 166 is finished, elapsed time = 1h 58m
Thread 87 is finished, elapsed time = 1h 58m
Thread 67 is finished, elapsed time = 1h 58m
Thread 161 is finished, elapsed time = 1h 58m
Thread 31 is finished, elapsed time = 1h 58m
Thread 125 is finished, elapsed time = 1h 59m
Thread 48 is finished, elapsed time = 1h 59m
Thread 55 is finished, elapsed time = 1h 59m
Thread 60 is finished, elapsed time = 1h 59m
Thread 133 is finished, elapsed time = 1h 59m
Thread 78 is finished, elapsed time = 1h 59m
Thread 162 is finished, elapsed time = 1h 59m
Thread 141 is finished, elapsed time = 1h 59m
Thread 13 is finished, elapsed time = 1h 59m
Thread 40 is finished, elapsed time = 1h 59m
Thread 33 is finished, elapsed time = 1h 59m
Thread 77 is finished, elapsed time = 1h 59m
Thread 142 is finished, elapsed time = 1h 59m
Thread 90 is finished, elapsed time = 1h 59m
Thread 59 is finished, elapsed time = 1h 59m
Thread 95 is finished, elapsed time = 1h 59m
Thread 123 is finished, elapsed time = 1h 59m
Thread 42 is finished, elapsed time = 1h 59m
Thread 3 is finished, elapsed time = 1h 59m
Thread 164 is finished, elapsed time = 1h 59m
Thread 147 is finished, elapsed time = 2h 
Thread 128 is finished, elapsed time = 2h 
Thread 30 is finished, elapsed time = 2h 
Thread 132 is finished, elapsed time = 2h 
Thread 167 is finished, elapsed time = 2h 
Thread 81 is finished, elapsed time = 2h 
Thread 137 is finished, elapsed time = 2h 
Thread 86 is finished, elapsed time = 2h 
Thread 61 is finished, elapsed time = 2h 
Thread 41 is finished, elapsed time = 2h 
Thread 109 is finished, elapsed time = 2h 
Thread 102 is finished, elapsed time = 2h 
Thread 56 is finished, elapsed time = 2h 
Thread 176 is finished, elapsed time = 2h 
Thread 12 is finished, elapsed time = 2h 
Thread 44 is finished, elapsed time = 2h 
Thread 70 is finished, elapsed time = 2h 
Thread 29 is finished, elapsed time = 2h 
Thread 143 is finished, elapsed time = 2h 
Thread 65 is finished, elapsed time = 2h 
Thread 146 is finished, elapsed time = 2h 
Thread 24 is finished, elapsed time = 2h 
Thread 121 is finished, elapsed time = 2h 
Thread 39 is finished, elapsed time = 2h 
Thread 85 is finished, elapsed time = 2h 
Thread 124 is finished, elapsed time = 2h 
Thread 91 is finished, elapsed time = 2h 
Thread 15 is finished, elapsed time = 2h 
Thread 64 is finished, elapsed time = 2h 
Thread 74 is finished, elapsed time = 2h 
Thread 113 is finished, elapsed time = 2h 
Thread 54 is finished, elapsed time = 2h 
Thread 139 is finished, elapsed time = 2h 
Thread 68 is finished, elapsed time = 2h 
Thread 36 is finished, elapsed time = 2h 
Thread 50 is finished, elapsed time = 2h 
Thread 17 is finished, elapsed time = 2h 
Thread 84 is finished, elapsed time = 2h 
Thread 58 is finished, elapsed time = 2h 
Thread 38 is finished, elapsed time = 2h 
Thread 23 is finished, elapsed time = 2h 
Thread 150 is finished, elapsed time = 2h 
Thread 148 is finished, elapsed time = 2h 
Thread 14 is finished, elapsed time = 2h 
Thread 35 is finished, elapsed time = 2h 1m
Thread 49 is finished, elapsed time = 2h 1m
Thread 47 is finished, elapsed time = 2h 1m
Thread 134 is finished, elapsed time = 2h 1m
Thread 69 is finished, elapsed time = 2h 1m
Thread 71 is finished, elapsed time = 2h 1m
Thread 62 is finished, elapsed time = 2h 1m
Thread 6 is finished, elapsed time = 2h 1m
Thread 10 is finished, elapsed time = 2h 1m
Thread 34 is finished, elapsed time = 2h 1m
Thread 32 is finished, elapsed time = 2h 1m
Thread 138 is finished, elapsed time = 2h 1m
Thread 163 is finished, elapsed time = 2h 1m
Thread 63 is finished, elapsed time = 2h 1m
Thread 75 is finished, elapsed time = 2h 1m
Thread 79 is finished, elapsed time = 2h 1m
Thread 22 is finished, elapsed time = 2h 1m
Thread 145 is finished, elapsed time = 2h 1m
Thread 26 is finished, elapsed time = 2h 1m
Thread 9 is finished, elapsed time = 2h 1m
Thread 18 is finished, elapsed time = 2h 1m
Thread 66 is finished, elapsed time = 2h 1m
Thread 16 is finished, elapsed time = 2h 1m
Thread 72 is finished, elapsed time = 2h 1m
Thread 4 is finished, elapsed time = 2h 1m
Thread 8 is finished, elapsed time = 2h 1m
Thread 82 is finished, elapsed time = 2h 1m
Thread 28 is finished, elapsed time = 2h 1m
Thread 20 is finished, elapsed time = 2h 1m
Thread 46 is finished, elapsed time = 2h 1m
Thread 53 is finished, elapsed time = 2h 1m
Thread 5 is finished, elapsed time = 2h 1m
Thread 7 is finished, elapsed time = 2h 1m
Thread 149 is finished, elapsed time = 2h 1m
Thread 25 is finished, elapsed time = 2h 1m
Thread 21 is finished, elapsed time = 2h 1m
Total elapsed time = 2h 1m
15047312553918
